date,pm10,pm2_5,carbon_monoxide,nitrogen_dioxide,sulphur_dioxide,ozone,aerosol_optical_depth,dust,uv_index,us_aqi,european_aqi
2022-08-01,,,,,,,,,,,
2022-08-02,,,,,,,,,,,
2022-08-03,,,,,,,,,,,
2022-08-04,36.72631578947368,22.13157894736842,303.1578947368421,22.810526315789474,10.163157894736841,59.473684210526315,0.49894736842105264,11.052631578947368,1.5947368421052632,,
2022-08-05,28.758333333333336,19.912499999999998,304.4166666666667,23.770833333333332,10.670833333333334,55.166666666666664,0.33208333333333334,1.2083333333333333,1.2958333333333334,70.94736842105263,47.421052631578945
2022-08-06,24.691666666666666,16.629166666666666,251.45833333333334,18.570833333333333,10.7875,58.333333333333336,0.3520833333333333,2.0833333333333335,1.7333333333333334,58.791666666666664,34.25
2022-08-07,36.37083333333333,24.425,322.125,27.041666666666668,15.470833333333333,55.333333333333336,0.52375,2.625,1.6916666666666667,68.25,45.291666666666664
2022-08-08,40.074999999999996,27.599999999999998,431.5833333333333,34.9625,19.241666666666667,47.666666666666664,0.51625,1.3333333333333333,1.4312500000000001,79.375,60.541666666666664
2022-08-09,46.229166666666664,32.333333333333336,547.4166666666666,43.645833333333336,27.575,49.875,0.5475,0.0,1.5833333333333333,96.125,66.95833333333333
2022-08-10,33.62083333333333,23.108333333333334,408.6666666666667,39.225,23.974999999999998,40.583333333333336,0.43124999999999997,0.0,0.9395833333333333,80.91666666666667,60.416666666666664
2022-08-11,19.641666666666666,13.3125,247.16666666666666,21.90833333333333,20.76666666666667,43.958333333333336,0.22541666666666668,0.2916666666666667,1.7208333333333332,61.083333333333336,36.375
2022-08-12,17.495833333333334,11.720833333333333,220.04166666666666,16.3875,10.975,48.666666666666664,0.22,1.0833333333333333,1.6208333333333333,49.916666666666664,26.541666666666668
