date,pm10,pm2_5,carbon_monoxide,nitrogen_dioxide,sulphur_dioxide,ozone,aerosol_optical_depth,dust,uv_index,us_aqi,year,month,day,dayofweek,is_weekend,season_Monsoon,season_Post-Monsoon,season_Summer,season_Winter
2022-08-01,-0.5760078858054865,-0.5240123437312807,-0.4413179589667113,0.20959291052221227,-0.14356268062720215,-0.5399466718937221,0.49688124091124436,-0.3980765066099931,0.003890241967686676,70.94736842105263,2022,8,1,0,0,1,0,0,0
2022-08-02,-0.5760078858054865,-0.5240123437312807,-0.4413179589667113,0.20959291052221227,-0.14356268062720215,-0.5399466718937221,0.49688124091124436,-0.3980765066099931,0.003890241967686676,70.94736842105263,2022,8,2,1,0,1,0,0,0
2022-08-03,-0.5760078858054865,-0.5240123437312807,-0.4413179589667113,0.20959291052221227,-0.14356268062720215,-0.5399466718937221,0.49688124091124436,-0.3980765066099931,0.003890241967686676,70.94736842105263,2022,8,3,2,0,1,0,0,0
2022-08-04,-0.5760078858054865,-0.5240123437312807,-0.4413179589667113,0.20959291052221227,-0.14356268062720215,-0.5399466718937221,0.49688124091124436,-0.3980765066099931,0.003890241967686676,70.94736842105263,2022,8,4,3,0,1,0,0,0
2022-08-05,-0.9443228420236242,-0.659077472858735,-0.4348888288501637,0.2881383829604409,-0.0553414460952604,-0.7903321139332905,-0.28425876054640875,-0.754465335553579,-0.5272704713597139,70.94736842105263,2022,8,5,4,0,1,0,0,0
2022-08-06,-1.132301940061527,-0.858918871544005,-0.7053715173249046,-0.1371802382899114,-0.03506771098900029,-0.6062401697860722,-0.19063283318021343,-0.722788092793835,0.2501804626741556,58.79166666666666,2022,8,6,5,1,1,0,0,0
2022-08-07,-0.5924398378071818,-0.38442235258443636,-0.34444418478897987,0.5556665221283315,0.7787779411337357,-0.780643064241331,0.6129897100462961,-0.703178371085422,0.1761375165756921,68.25,2022,8,7,6,1,1,0,0,0
2022-08-08,-0.42121707330339525,-0.1911747056324367,0.2146101209727381,1.2035276591450943,1.4340540222467932,-1.2263393500714375,0.5778799872839726,-0.7499400151593298,-0.28663089653970697,79.375,2022,8,8,0,0,1,0,0,0
2022-08-09,-0.13674460629316826,0.09692152394429769,0.8062244985964824,1.9137552286048183,2.8821779584082456,-1.0979594416529825,0.7241704987936527,-0.798210099364654,-0.016374143280314193,96.125,2022,8,9,1,0,1,0,0,0
2022-08-10,-0.719556850824616,-0.46456179672726056,0.09756411101120616,1.5521662405065615,2.256588417986498,-1.6381239619796866,0.17996979597764248,-0.798210099364654,-1.1603376605015794,80.91666666666667,2022,8,10,2,0,1,0,0,0
2022-08-11,-1.365735000329906,-1.060789116916435,-0.7272910428267916,0.13580070371452155,1.6990607025643394,-1.4419207057175205,-0.7835970398327835,-0.7876510184447393,0.22796757884461616,61.083333333333336,2022,8,11,3,0,1,0,0,0
2022-08-12,-1.4649247907904794,-1.15766654622833,-0.8658309564358051,-0.3157595311866941,-0.002484922425367616,-1.1682050519196845,-0.8089540618277944,-0.7589906559478282,0.05026450820830296,49.91666666666666,2022,8,12,4,0,1,0,0,0
2022-08-13,-1.35803093893491,-1.1244441817260833,-1.036718130979642,-0.4980876260336002,-0.386961827476233,-1.5727228765589647,-0.42079657128877684,-0.6006044421491082,-0.1792686246969347,49.333333333333336,2022,8,13,5,1,1,0,0,0
2022-08-14,-1.4364197636289944,-1.1708540496948703,-0.972023609109995,-0.35188434997879137,-0.09950922614818496,-2.0014633254281424,-0.3232695636156566,-0.6986530506911729,-0.4754404090907895,50.083333333333336,2022,8,14,6,1,1,0,0,0
2022-08-15,-1.1681258255482583,-0.9380438923432489,-0.7589998709800065,-0.10821222322077671,-0.2819728421045278,-2.26548992953402,-0.4285987319026261,-0.6518914066172651,-1.7748941131188285,51.333333333333336,2022,8,15,0,0,1,0,0,0
2022-08-16,-1.263270983776459,-0.9464128849277842,-0.9345688859223048,-0.2309002870429938,-0.9162511261432441,-2.0159968999660807,-0.48516439635303577,-0.7439062546336643,-2.6004729621166995,58.583333333333336,2022,8,16,1,0,1,0,0,0
2022-08-17,-1.587226765436041,-1.2687459023503451,-1.1122660101366308,-0.6862093238943329,-0.8322599378458797,-1.8343272182418529,-0.5573343820311447,-0.7212796526624187,-1.589786747872669,49.29166666666666,2022,8,17,2,0,1,0,0,0
2022-08-18,-1.3655423987950313,-1.115314371633863,-1.039697483960481,-0.5457996508533511,-0.47457332561400106,-1.9336399775844308,0.215079518739966,-0.6262479243831867,-1.0862947144031156,47.083333333333336,2022,8,18,3,0,1,0,0,0
2022-08-19,-1.113041786574037,-0.9403263448663041,-0.8783868011407694,-0.21897228083805614,-0.2566306732217026,-2.2364227804581436,0.4862046000712395,-0.5236739954468728,-0.09782138398862404,52.458333333333336,2022,8,19,4,0,1,0,0,0
2022-08-20,-0.7989086831930746,-0.7600125955449503,-0.7072868156697296,-0.12150343013485035,-0.019138347691223988,-2.4132479373363926,1.147437712094994,-0.33511897901982524,-0.16075788817231862,59.29166666666666,2022,8,20,5,1,1,0,0,0
2022-08-21,-0.7243718891964883,-0.7858803908062414,-0.9052009779683203,-0.44833080015014537,-0.29862626737038445,-2.1153096593086587,1.5004854798716885,-0.1088529593073681,0.002136593244301879,64.83333333333333,2022,8,21,6,1,1,0,0,0
2022-08-22,-1.018859636020211,-0.9880042420145664,-1.1371648886193568,-0.6776893194622345,-0.783747785984471,-2.183133007152371,0.696862936645179,-0.24913789152909155,-0.5568876497990998,58.91666666666666,2022,8,22,0,0,1,0,0,0
2022-08-23,-1.0446682416934474,-0.938297498179144,-1.192495729692081,-0.7202893416227264,-0.9213195599198091,-2.4738044979111353,0.9231255944468175,-0.3366274191512416,-2.0303422771585287,55.66666666666666,2022,8,23,1,0,1,0,0,0
2022-08-24,-0.6912444251980054,-0.6935678665404569,-0.8270993676848979,-0.34609074696496417,-0.4304055455610765,-2.2364227804581436,1.1220806900999825,-0.1827665257467708,-1.0974011563178852,59.083333333333336,2022,8,24,2,0,1,0,0,0
2022-08-25,-0.6714064671058907,-0.637013765135869,-0.5157569811872225,0.13307430229625022,0.2574533241156128,-2.2364227804581436,0.6695553744967052,-0.32606833823132697,0.3834577656513899,68.58333333333333,2022,8,25,3,0,1,0,0,0
2022-08-26,-0.3686368542825477,-0.41967356377384324,-0.13056920295018024,0.13409670282810196,0.3074135999131832,-2.0741311981178336,0.4042819136258191,-0.20086780732376736,0.7647789380584787,67.66666666666667,2022,8,26,4,0,1,0,0,0
2022-08-27,-0.0392882296464684,-0.16682854538651556,0.04819197590015977,0.1886247311935316,0.08947094752088494,-1.7374367213222648,0.8665599299964084,-0.13147956127861382,0.28349978841846396,82.875,2022,8,27,5,1,1,0,0,0
